Timestamp,What was your undergraduate major?,What type of phone do you have?,How many years ago did you receive your undergraduate degree?,How many hours do you sleep in a typical night?,Rate your proficiency with git/github,Rate your proficiency with Python,Have you ever used SQL?,What is your favorite sport to watch on tv?,What is your ideal outdoor temperature (in Fahrenheit)? ,How many US states have you visited?,What is your favorite season?
2026/08/25 8:20:42 AM AST,Psychology,iPhone,4-6 years,8,3,2,Yes,F1 motorsport,70,8,Fall
2026/08/25 9:35:50 AM AST,Statistics,iPhone,1-3 years,8,3,4,Yes,,70,16,Fall
2026/08/25 1:43:22 PM AST,Economics-Business and Applied Mathematics,iPhone,< 1 year,8,3,3,No,Baseball,70,27,Fall
2026/08/25 3:11:38 PM AST,Data Science (concentration in Computer Science),iPhone,< 1 year,8,3,4,Yes,Football (go Bears!),73,9,Fall
2026/08/25 3:26:11 PM AST,Math and Physics,iPhone,1-3 years,8,2,4,Yes,Figure Skating,73,26,Fall
2026/08/25 8:43:55 PM AST,Analytics,iPhone,< 1 year,7,1,3,Yes,Baseball,70 degrees,21,Spring
2026/08/26 10:10:39 AM AST,Statistics ,iPhone,< 1 year,7,4,4,Yes,Basketball ,73,35-40,Summer
2026/08/26 10:11:02 AM AST,statistics and media studies ,iPhone,< 1 year,7-Jun,2,3,No,None!,55,20,Winter
2026/08/26 10:11:06 AM AST,Computer science ,iPhone,< 1 year,9,5,4,Yes,Football,64,16,Fall
2026/08/26 10:11:18 AM AST,Economics,iPhone,< 1 year,5,4,3,Yes,College Hoops,70,7,Summer
2026/08/26 10:11:20 AM AST,Commerce,iPhone,< 1 year,9-Aug,1,2,Yes,College football ,70,13,Spring
2026/08/26 10:11:24 AM AST,Economics,iPhone,< 1 year,8,2,2,No,Basketball,75,6,Fall
2026/08/26 10:11:27 AM AST,Computer science ,iPhone,< 1 year,5,3,3,Yes,Basketball,68,3,Winter
2026/08/26 10:11:35 AM AST,Computer Science,iPhone,< 1 year,8,4,4,Yes,Basketball,70,25-30 if you count driving through,Summer
2026/08/26 10:11:38 AM AST,Computer Science,iPhone,1-3 years,8,3,3,Yes,Soccer,65,4,Spring
2026/08/26 10:11:46 AM AST,Biology BA,Android,< 1 year,8-Jun,3,3,Yes,Football,70-85,8,Fall
2026/08/26 10:11:50 AM AST,Astrophysics,iPhone,< 1 year,7,3,4,Yes,Soccer,78,10,Spring
2026/08/26 10:11:50 AM AST,Economics,iPhone,4-6 years,8,3,4,Yes,Soccer,80,15,Spring
2026/08/26 10:11:51 AM AST,Communications,iPhone,10+ years,9-Jul,1,2,No,Football,85,47,Fall
2026/08/26 10:11:54 AM AST,Cognitive Science,Android,< 1 year,7,3,2,Yes,Baseball,74,10,Spring
2026/08/26 10:12:09 AM AST,"Cognitive Science, Computer Science Concentration ",iPhone,< 1 year,7,4,4,Yes,Soccer ,74,11,Fall
2026/08/26 10:12:13 AM AST,Economics,iPhone,< 1 year,7,1,1,No,Soccer,70,9,Fall
2026/08/26 10:12:27 AM AST,Statistics,iPhone,< 1 year,8,2,3,Yes,Ice Hockey,72,8,Spring
2026/08/26 10:12:27 AM AST,Applied Statistics,iPhone,1-3 years,8,3,3,Yes,Soccer,70,12,Fall
2026/08/26 10:12:43 AM AST,Economics ,Android,7-10 years,7,1,2,No,Volleyball and Basketball ,80,20,Spring
2026/08/26 10:13:01 AM AST,Statistics,iPhone,< 1 year,8,3,4,Yes,Football,75,11,Summer
2026/08/26 10:13:19 AM AST,B.A. in computer science,iPhone,< 1 year,"4-5 if I am lucky, I’m a diagnosed insomniac ",5,5,Yes,Mma or hockey,72,22,Winter
2026/08/26 10:13:25 AM AST,Computational Modeling and Data Analytics,iPhone,< 1 year,8,3,4,Yes,Football,78,14,Summer
2026/08/26 10:13:30 AM AST,Economics,iPhone,< 1 year,7,3,3,No,Football,72,14,Fall
2026/08/26 10:13:33 AM AST,Psychology and Economics,iPhone,4-6 years,8,1,2,No,Ice hockey and tennis,63 degrees,10,Spring
2026/08/26 10:13:35 AM AST,Statistics and Economics,iPhone,< 1 year,8,2,2,No,College Basketball,73,22,Spring
2026/08/26 10:13:46 AM AST,Economics,iPhone,4-6 years,8 to 9,1,1,No,I don’t watch TV,55,11,Spring
2026/08/26 10:14:16 AM AST,Statistics,iPhone,< 1 year,7.5,2,2,No,NA,65,6,Fall
2026/08/26 10:14:54 AM AST,Astronomy-physics,iPhone,< 1 year,6,4,4,Yes,I don’t watch sports,64,32,Fall
2026/08/26 10:19:10 AM AST,Mathematics ,iPhone,< 1 year,7,1,3,No,College football,77,17,Summer
